subj_id,Parent,Agreement,Intelligence Mindset_1,Intelligence Mindset_2,Intelligence Mindset_3,Intelligence Mindset_4,Perception_Child_1,Perception_Child_2,Perception_Child_3,Perception_Child_4,Failure_Deb_1,Failure_Deb_2,Failure_Deb_3,Failure_Deb_4,Failure_Deb_5,Failure_Enh_1,Failure_Enh_2,Failure_Enh_3,Failure_Enh_4,Failure_Enh_5,Say the children,think,feel,perf_ori,lear_ori,other,Failure Mindset_1,Failure Mindset_2,Failure Mindset_3,Q24_1,Q24_2,Q24_3,EDUC,Gender,Origin,Age,#Children,Child Age_1,Child Age_2,Child Age_3,Child Age_4,Child Age_5,mTurkCode,Duration (in seconds)
1,Yes,I commit to carefully reading the material presented in this study.,3,4,4,5,4,4,4,4,3,3,4,4,4,,,,,,I would scold the child because of those grades.,I would think I failed as a parent.,I'd feel I didn't do my job as a parent.,2,0,0,3,4,4,3,4,4,college degree,Male,White,25,1,5,0,0,0,0,1576616,101
2,Yes,I commit to carefully reading the material presented in this study.,5,5,2,2,4,4,5,5,,,,,,5,4,5,4,4,tell her to start studying for the next one,she's not as good at it as she thought,bad for her,2,1,,3,3,3,2,2,2,college degree,Male,White,35,1,6,,,,,569982,106
4,Yes,I commit to carefully reading the material presented in this study.,5,5,2,2,4,5,5,6,,,,,,6,6,6,6,6,I would ask her where she thinks she went wrong,I would think that she should review her material more just to  be certain that she understands the material,I would feel that i should have done more to help her prepare,1,2,0,6,6,6,1,1,1,college degree,Female,White,32,1,8,0,0,0,0,8282366,138
5,Yes,I commit to carefully reading the material presented in this study.,5,4,4,3,5,5,5,5,4,4,5,4,4,,,,,,"I would not get mad at my child. If he really tried his best, I will continue to encourage him. Maybe pick up some extra time to study with a tutor.",I would be a little disappointed but not angry,I would feel helpless,1,2,,5,4,4,4,5,4,college degree,Male,Asian American,29,1,7,,,,,2079700,132
7,Yes,I commit to carefully reading the material presented in this study.,4,4,3,3,3,4,3,3,,,,,,6,6,6,6,6,"""I hate it when that happens"".  Let's go through the test and see what happened. ",I wonder if it was the whole class,Sad for her that she got a bad grade when she thought she did well.,2,1,0,6,6,6,2,2,4,college degree,Female,White,36,1,3,,,,,9565485,213
8,Yes,I commit to carefully reading the material presented in this study.,4,5,4,6,5,4,6,6,,,,,,3,4,5,5,5,I would sit the child down and have a talk about how important school work is.,Disappointed ,Disappointed ,2,0,0,3,2,3,4,2,5,college degree,Male,White,30,1,13,13,13,13,13,3399703,176
9,Yes,I commit to carefully reading the material presented in this study.,3,4,5,5,4,5,5,5,4,5,6,5,2,,,,,,"I would talk with my child. I would ask them if I could look through the test, find out what parts they are struggling with. I would help my child try to do better.","I would be upset, but I would turn it into a learning experience.","Upset, but again, I'd use it as a learning experiment.",0,2,0,4,6,5,3,2,1,a high school degree,Female,White,22,2,2,0,,,,5657433,149
10,Yes,I commit to carefully reading the material presented in this study.,2,1,6,6,3,2,3,4,,,,,,5,4,4,5,5,"What happened?  I thought you studied, and did fine?  Was there something you missed?","That my child didnt understand the material, or that it wasnt explained thorough enough by either myself or the teacher.",Like I havent done my job well enough.,1,2,0,4,5,4,4,5,4,college degree,Male,White,37,1,6,0,0,0,0,7788869,224
11,Yes,I commit to carefully reading the material presented in this study.,2,2,5,5,5,5,4,3,,,,,,5,5,5,5,5,its ok. we will work on this together and help you get to where you need to be,that this was a fluke and will change in the future,I need to help my child with math skills,0,2,0,5,5,5,1,1,1,college degree,Male,White,68,3,35,31,28,0,0,5593027,247
12,Yes,I commit to carefully reading the material presented in this study.,4,4,3,3,4,4,2,6,4,4,4,4,4,,,,,,I'd ask what was confusing and try to help,"First time without a real understanding of what's involved, not too big a deal",like I need to help and monitor study.,0,2,0,3,3,4,3,3,4,college degree,Male,White,47,1,4,0,0,0,0,1860928,276
