subj_id,Progress,Duration (in seconds),Finished,RecordedDate,int_min_01,int_min_02,int_min_03,int_min_04,fai_min_01,fai_min_02,fai_min_03,fai_min_04,fai_min_05,fai_min_06,emo_min_01,emo_min_02,per_min_01,per_min_02,per_chi_01,per_chi_02,per_chi_03,per_chi_04,educ,gender,Origin,cond_deb_01,cond_deb_02,cond_deb_03,cond_deb_04,cond_deb_05,cond_enh_01,cond_enh_02,cond_enh_03,cond_enh_04,cond_enh_05,Say The Children,think,feel,Per_Ori,Lea_Ori,fai_post_01,fai_post_02,fai_post_03,fai_post_04,fai_post_05,fai_post_06
1,100,282,True,10/28/2017 16:19,6,6,1,1,4,5,4,3,3,3,3,2,5,3,6,6,4,4,post-graduate degree,Male,White,,,,,,4,4,4,5,5,That sucks!  Guess you didn't know this as well as you thought you did.  Do better next time.,They should have prepared more or worked harder.,Like my child had an inaccurate view of their own abilities.,3,0,3,4,4,3,3,3
2,100,484,True,10/28/2017 17:14,1,1,4,4,5,5,6,4,3,3,1,1,5,3,4,4,4,4,post-graduate degree,Female,White,6,6,6,5,2,,,,,,Let's look at it together and see what you still need to learn.,"I would feel bad for my child, and I would be concerned that they weren't aware of how poorly they grasped the material.",I would hope they could learn from this rather than internalizing a label from it,1,2,5,5,5,3,2,3
3,100,449,True,10/28/2017 17:44,4,4,4,4,1,1,5,3,3,3,1,1,3,4,6,6,6,6,post-graduate degree,Female,Other,,,,,,6,6,6,6,6,,,,0,0,6,6,6,6,6,6
4,100,304,True,10/28/2017 18:54,1,1,6,6,4,6,6,1,1,1,1,1,6,1,6,6,6,6,post-graduate degree,Male,Hispanic,,,,,,6,6,6,6,6,Do you feel like you worked your hardest on this? If so then what other supports could you ask for?,She is having difficulties understanding or applying herself. ,Like I need to support my child and give more appropriate supports. ,0,3,4,6,6,1,1,1
5,100,593,True,10/28/2017 20:16,1,2,5,5,4,5,4,4,4,2,5,3,3,5,5,3,3,5,post-graduate degree,Female,Other,5,4,5,5,4,,,,,,"Hug her and comfort her. Ask her what she thinks went wrong. Ask if she wants to talk more about it. Go through the test together, step by step. Help her reflect out loud--which mistakes does she understand why she got wrong? Talk about what she can do better next time to avoid similar mistakes. Are there any questions she doesn't know why she missed? Encourage her to talk to the teacher about those, to understand the concept so she'll be better prepared next time.","I'd worry that she will lose her enthusiasm for math, but I don't want to judge until at least the second or third test results come out.",See previous question.,2,4,3,4,3,4,3,3
6,100,819,True,10/29/2017 0:12,1,1,6,6,3,3,5,5,5,1,5,2,6,3,4,4,2,4,post-graduate degree,Female,Other,4,5,5,5,2,,,,,,"""How are you feeling about your grade?"" If he feels upset of sad, I might offer to sit with and help him go through the test and figure out where we has difficulties. If he is sad I might tell him something on the lines  of ""It's okay to be sad. I am sad / upset / disappointed  all the time when I do something wrong or when I fail at something. We can try to learn from this and put in our best effort.""",It's just one test. I don't think it would bother me. What might bother me is how my child is feeling about this test. ,It wouldn't bother me much. I would be more concerned about how my child is feeling and how he is doing. I wouldn't want him to internalize this test as a failure.. so i would work on helping him manage his emotions and learn from this experience. ,0,4,4,4,5,5,5,1
7,100,332,True,10/29/2017 11:33,3,5,2,3,2,3,3,4,3,2,4,3,3,5,5,5,5,6,college degree,Female,Other,4,4,4,4,2,,,,,,"Assuming she's disappointed, I would tell her that she should take this as an opportunity to learn and that she'll do better next time. How do you think you can study better next time? Why don't you meet with your teacher and ask her what she thinks you can do to improve?","That's disappointing, but hopefully this will act as a wake up call and she'll work harder next time. ",Trying to be supportive and trying to make sure my child realizes this shouldn't happen again.,0,4,3,3,3,4,3,2
8,100,359,True,10/29/2017 11:35,1,3,2,2,3,3,3,3,3,3,3,3,4,3,6,6,6,6,college degree,Female,Other,5,5,5,3,3,,,,,,Ask the child what she thought was confusing and why.,"Wonder what she was confused by - it could be the content or the format of the test, or maybe a classmate was bothering her. Can't really know much from a grade on a test. ",Confused but sympathetic. ,0,3,3,3,3,3,3,3
9,100,428,True,10/29/2017 13:47,5,5,1,2,2,2,2,5,5,5,5,2,2,5,5,5,5,5,post-graduate degree,Female,White,4,4,4,4,5,,,,,,"I would ask the child how they were feeling and listen and empathize. Then I would talk to the child, helping them reflect on what they might do different in the future, what they learned about themselves and would set up next steps for moving forward in the class.","I would be thinking it offered a good opportunity to reflect on self-perceptions around learning, preparation and failing.","I would imagine my feelings would depend on the feelings exhibited by the child. If the child was really disappointed, I would feel empathy for that. If they disregarded it, I would feel concerned they weren't taking it seriously or weren't using it as an opportunity to reflect. ",0,3,3,5,5,4,2,4
10,100,269,True,10/29/2017 16:51,1,1,6,6,2,5,3,3,2,2,1,1,6,1,5,4,6,6,post-graduate degree,Female,African American,,,,,,5,5,6,5,5,First I would remind the child that it is only one test—and there will be plenty more in the future. Then I would suggest reviewing the test together to see where she went wrong.,"I would think, “My child is going to need to attack this subject differently if she is going to be successful in it.”",I would feel fine—capable of helping my child perform up to expectations. ,1,3,5,5,5,2,2,2
11,100,445,True,10/29/2017 19:48,4,2,3,1,5,4,6,2,2,2,2,3,4,2,4,3,4,5,post-graduate degree,Female,White,,,,,,5,5,5,5,5,"Ask what their approach is, use a 'compliment sandwich' to point out the good things they did, while highlighting strategies they could use, then encourage them to try harder next time","I would wonder about their level of effort, their preparation for the test (from the class), etc.",I would hope that my child bounces back and learns from the experience,1,3,5,4,5,2,2,2
